file,score,decision,reason
I:\Record_chunks\New recording 284_sent0211.wav,0.785592,TARGET,
I:\Record_chunks\New recording 284_sent0171.wav,0.785359,TARGET,
I:\Record_chunks\Atypical or tuberculosis_sent0109.wav,0.785302,TARGET,
I:\Record_chunks\New recording 126_sent0175.wav,0.785099,TARGET,
I:\Record_chunks\New recording 143_sent0113.wav,0.785051,TARGET,
I:\Record_chunks\New recording 129_sent0167.wav,0.785043,TARGET,
I:\Record_chunks\New recording 166_sent0084.wav,0.785002,TARGET,
I:\Record_chunks\captopril pregnancy _sent0128.wav,0.784982,TARGET,
I:\Record_chunks\New recording 36_sent0107.wav,0.784777,TARGET,
I:\Record_chunks\New recording 44_sent0159.wav,0.784703,TARGET,
I:\Record_chunks\New recording 386_sent0161.wav,0.784555,TARGET,
I:\Record_chunks\New recording 148_sent0018.wav,0.784446,TARGET,
I:\Record_chunks\New recording 37_sent0087.wav,0.784286,TARGET,
I:\Record_chunks\New recording 386_sent0258.wav,0.784242,TARGET,
I:\Record_chunks\New recording 368_sent0042.wav,0.784145,TARGET,
I:\Record_chunks\New recording 381_sent0039.wav,0.783763,TARGET,
I:\Record_chunks\New recording 451_sent0196.wav,0.78376,TARGET,
I:\Record_chunks\New recording 287_sent0077.wav,0.783757,TARGET,
I:\Record_chunks\citalopram induced hyponatremia_sent0185.wav,0.783693,TARGET,
I:\Record_chunks\New recording 33_sent0137.wav,0.783554,TARGET,
I:\Record_chunks\New recording 35_sent0052.wav,0.783024,TARGET,
I:\Record_chunks\New recording 417_sent0210.wav,0.783001,TARGET,
I:\Record_chunks\New recording 471_sent0041.wav,0.782967,TARGET,
I:\Record_chunks\New recording 24_sent0001.wav,0.782752,TARGET,
I:\Record_chunks\New recording 456_sent0171.wav,0.782675,TARGET,
I:\Record_chunks\New recording 450_sent0202.wav,0.782364,TARGET,
I:\Record_chunks\New recording 349_sent0155.wav,0.782246,TARGET,
I:\Record_chunks\ankylosing spondylitis_sent0197.wav,0.782228,TARGET,
I:\Record_chunks\Carbon monoxide poisoning headache_sent0001.wav,0.782198,TARGET,
I:\Record_chunks\New recording 329_sent0161.wav,0.782038,TARGET,
I:\Record_chunks\New recording 154_sent0001.wav,0.782034,TARGET,
I:\Record_chunks\New recording 415_sent0159.wav,0.781877,TARGET,
I:\Record_chunks\New recording 379_sent0127.wav,0.781825,TARGET,
I:\Record_chunks\New recording 468_sent0100.wav,0.781696,TARGET,
I:\Record_chunks\New recording 479_sent0001.wav,0.781579,TARGET,
I:\Record_chunks\New recording 309_sent0172.wav,0.781407,TARGET,
I:\Record_chunks\New recording 106_sent0084.wav,0.781333,TARGET,
I:\Record_chunks\New recording 303_sent0132.wav,0.78123,TARGET,
I:\Record_chunks\New recording 162_sent0038.wav,0.780743,TARGET,
I:\Record_chunks\Dysphagia suspected esophageal cancer._sent0154.wav,0.780722,TARGET,
I:\Record_chunks\New recording 443_sent0000.wav,0.780415,TARGET,
I:\Record_chunks\New recording 439_sent0108.wav,0.780307,TARGET,
I:\Record_chunks\New recording 471_sent0119.wav,0.780242,TARGET,
I:\Record_chunks\New recording 302_sent0093.wav,0.780212,TARGET,
I:\Record_chunks\Acute gastroenteritis._sent0194.wav,0.780196,TARGET,
I:\Record_chunks\New recording 357_sent0100.wav,0.780118,TARGET,
I:\Record_chunks\New recording 456_sent0084.wav,0.77995,TARGET,
I:\Record_chunks\New recording 148_sent0020.wav,0.779902,TARGET,
I:\Record_chunks\New recording 386_sent0272.wav,0.779793,TARGET,
I:\Record_chunks\New recording 291_sent0146.wav,0.779766,TARGET,
I:\Record_chunks\New recording 321_sent0174.wav,0.779676,TARGET,
I:\Record_chunks\New recording 326_sent0106.wav,0.779667,TARGET,
I:\Record_chunks\New recording 296_sent0248.wav,0.779579,TARGET,
I:\Record_chunks\New recording 377_sent0178.wav,0.779489,TARGET,
I:\Record_chunks\New recording 470_sent0040.wav,0.779427,TARGET,
I:\Record_chunks\New recording 110_sent0113.wav,0.778909,TARGET,
I:\Record_chunks\New recording 369_sent0186.wav,0.778879,TARGET,
I:\Record_chunks\New recording 449_sent0069.wav,0.778839,TARGET,
I:\Record_chunks\New recording 292_sent0163.wav,0.778747,TARGET,
I:\Record_chunks\New recording 487_sent0044.wav,0.778509,TARGET,
I:\Record_chunks\Dysphagia suspected esophageal cancer._sent0028.wav,0.778283,TARGET,
I:\Record_chunks\Attention deficit hyperactivity disorder._sent0093.wav,0.777778,TARGET,
I:\Record_chunks\New recording 308_sent0121.wav,0.777776,TARGET,
I:\Record_chunks\New recording 441_sent0043.wav,0.777737,TARGET,
I:\Record_chunks\New recording 173_sent0001.wav,0.777691,TARGET,
I:\Record_chunks\New recording 46_sent0033.wav,0.777611,TARGET,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0031.wav,0.777314,TARGET,
I:\Record_chunks\New recording 371_sent0000.wav,0.777216,TARGET,
I:\Record_chunks\New recording 289_sent0163.wav,0.776842,TARGET,
I:\Record_chunks\New recording 473_sent0120.wav,0.77684,TARGET,
I:\Record_chunks\New recording 106_sent0000.wav,0.776837,TARGET,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0097.wav,0.776821,TARGET,
