file,score,decision,reason
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0111.wav,0.051147,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0112.wav,,OTHER,too_short(0.88s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0113.wav,0.517695,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0114.wav,0.533172,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0115.wav,0.551961,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0116.wav,0.622365,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0117.wav,0.573322,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0118.wav,,OTHER,too_short(0.52s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0119.wav,0.522776,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0120.wav,,OTHER,too_short(0.54s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0121.wav,0.473193,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0122.wav,,OTHER,too_short(0.32s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0123.wav,0.497835,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0124.wav,0.499095,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0125.wav,0.605928,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0126.wav,,OTHER,too_short(0.92s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0127.wav,0.031079,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0128.wav,0.564485,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0129.wav,0.612079,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0130.wav,,OTHER,too_short(0.58s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0131.wav,,OTHER,too_short(1.18s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0132.wav,,OTHER,too_short(1.58s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0133.wav,,OTHER,too_short(0.58s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0134.wav,,OTHER,too_short(0.56s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0135.wav,,OTHER,too_short(1.14s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0136.wav,0.532517,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0137.wav,,OTHER,too_short(0.58s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0138.wav,,OTHER,too_short(0.58s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0139.wav,0.518076,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0140.wav,0.425355,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0141.wav,,OTHER,too_short(0.60s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0142.wav,,OTHER,too_short(1.58s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0143.wav,,OTHER,too_short(0.54s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0144.wav,,OTHER,too_short(0.54s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0145.wav,0.523108,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0146.wav,0.609220,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0147.wav,0.479382,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0148.wav,0.601540,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0000.wav,,OTHER,too_short(1.65s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0001.wav,0.569334,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0002.wav,0.555266,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0003.wav,0.580267,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0004.wav,0.506224,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0005.wav,0.396258,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0006.wav,0.421735,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0007.wav,0.304106,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0008.wav,0.166844,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0009.wav,0.261808,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0010.wav,0.093901,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0011.wav,0.188756,OTHER,
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0012.wav,,OTHER,too_short(0.92s)
I:\Record_chunks\abdominal aortic aneurysm counseling telephone_sent0013.wav,0.073016,OTHER,
